Time t / s,Current I_1 / A
0,0
0.002,-0.0016665
0.004,0
0.006,0
0.008,-0.0016665
0.01,0
0.012,0
0.014,-0.0016665
0.016,-0.0016665
0.018,-0.0016665
0.02,-0.003333
0.022,-0.0016665
0.024,0
0.026,0
0.028,-0.0016665
0.03,-0.0016665
0.032,0
0.034,-0.0016665
0.036,-0.0016665
0.038,0
0.04,0
0.042,0
0.044,-0.0016665
0.046,-0.0016665
0.048,-0.0016665
0.05,0
0.052,0
0.054,0
0.056,-0.0016665
0.058,0
0.06,0
0.062,-0.0016665
0.064,0
0.066,0
0.068,-0.0016665
0.07,0
0.072,0
0.074,-0.0016665
0.076,-0.0016665
0.078,-0.0016665
0.08,0
0.082,0
0.084,-0.0016665
0.086,-0.0016665
0.088,0
0.09,0
0.092,-0.0016665
0.094,0
0.096,0
0.098,0
0.1,0
0.102,0
0.104,-0.0016665
0.106,0
0.108,-0.0016665
0.11,-0.0016665
0.112,0
0.114,-0.0016665
0.116,0
0.118,0
0.12,0
0.122,0
0.124,0
0.126,-0.0016665
0.128,0
0.13,-0.0016665
0.132,0
0.134,-0.0016665
0.136,-0.0016665
0.138,-0.0016665
0.14,-0.0016665
0.142,0
0.144,-0.003333
0.146,0
0.148,-0.0016665
0.15,-0.0016665
0.152,0
0.154,0
0.156,0
0.158,0
0.16,0
0.162,0
0.164,0
0.166,-0.0016665
0.168,0
0.17,0
0.172,-0.0016665
0.174,0
0.176,0
0.178,-0.0016665
0.18,-0.0016665
0.182,0
0.184,0
0.186,-0.0016665
0.188,0
0.19,-0.0016665
0.192,-0.0016665
0.194,-0.0016665
0.196,0
0.198,-0.0016665
0.2,-0.0016665
0.202,-0.0016665
0.204,0
0.206,-0.0016665
0.208,-0.0016665
0.21,0
0.212,-0.0016665
0.214,-0.0016665
0.216,0
0.218,-0.0016665
0.22,0
0.222,0
0.224,0
0.226,0
0.228,0
0.23,0
0.232,0
0.234,0
0.236,0
0.238,0
0.24,-0.0016665
0.242,0
0.244,0
0.246,0
0.248,-0.0016665
0.25,0
0.252,0
0.254,-0.0016665
0.256,0
0.258,0
0.26,-0.0016665
0.262,-0.0016665
0.264,0
0.266,0
0.268,-0.0016665
0.27,0
0.272,-0.0016665
0.274,0
0.276,-0.0016665
0.278,0
0.28,-0.003333
0.282,0
0.284,0
0.286,-0.003333
0.288,-0.0016665
0.29,0
0.292,0
0.294,-0.0016665
0.296,0
0.298,-0.0016665
0.3,-0.0016665
0.302,-0.0016665
0.304,0
0.306,0
0.308,0
0.31,-0.0016665
0.312,0
0.314,0
0.316,0
0.318,0
0.32,-0.0016665
0.322,0
0.324,-0.003333
0.326,0
0.328,-0.0016665
0.33,0
0.332,-0.0016665
0.334,0
0.336,0
0.338,0
0.34,0
0.342,0
0.344,-0.0016665
0.346,-0.0016665
0.348,-0.0016665
0.35,-0.0016665
0.352,-0.0016665
0.354,-0.0016665
0.356,0
0.358,0
0.36,-0.0016665
0.362,0
0.364,-0.0016665
0.366,0
0.368,-0.0016665
0.37,0
0.372,-0.0016665
0.374,0
0.376,0
0.378,0
0.38,0
0.382,-0.0016665
0.384,0
0.386,-0.0016665
0.388,-0.003333
0.39,-0.0016665
0.392,-0.003333
0.394,-0.0016665
0.396,0
0.398,0
0.4,0
0.402,0
0.404,-0.0016665
0.406,-0.0016665
0.408,-0.0016665
0.41,0
0.412,0
0.414,-0.0016665
0.416,-0.0016665
0.418,0
0.42,-0.0016665
0.422,-0.0016665
0.424,-0.0016665
0.426,-0.0016665
0.428,-0.0016665
0.43,0
0.432,-0.0016665
0.434,-0.0016665
0.436,-0.0016665
0.438,-0.0016665
0.44,-0.0016665
0.442,-0.0016665
0.444,0
0.446,0
0.448,0
0.45,0
0.452,0
0.454,-0.0016665
0.456,-0.0016665
0.458,0
0.46,0
0.462,0
0.464,0
0.466,0
0.468,0
0.47,0
0.472,-0.0016665
0.474,-0.0016665
0.476,-0.0016665
0.478,0
0.48,-0.0016665
0.482,0
0.484,0
0.486,0
0.488,-0.0016665
0.49,0
0.492,0
0.494,-0.0016665
0.496,-0.0016665
0.498,-0.0016665
0.5,0
0.502,0
0.504,0
0.506,0
0.508,0
0.51,-0.003333
0.512,-0.0016665
0.514,0
0.516,-0.0016665
0.518,0
0.52,-0.0016665
0.522,0
0.524,0
0.526,-0.0016665
0.528,0
0.53,0
0.532,-0.0016665
0.534,-0.0016665
0.536,0
0.538,-0.0016665
0.54,-0.0016665
0.542,-0.0016665
0.544,-0.0016665
0.546,0
0.548,-0.0016665
0.55,-0.0016665
0.552,0
0.554,-0.0016665
0.556,0
0.558,-0.0016665
0.56,-0.0016665
0.562,0
0.564,-0.0016665
0.566,0
0.568,-0.0016665
0.57,0
0.572,0
0.574,0
0.576,-0.0016665
0.578,0
0.58,-0.0016665
0.582,0
0.584,0
0.586,0
0.588,0
0.59,0
0.592,0
0.594,0
0.596,-0.0016665
0.598,0
0.6,0
0.602,0
0.604,0
0.606,-0.0016665
0.608,-0.0016665
0.61,0
0.612,0
0.614,0
0.616,-0.0016665
0.618,0
0.62,-0.0016665
0.622,0
0.624,0
0.626,-0.0016665
0.628,-0.0016665
0.63,0
0.632,0
0.634,-0.0016665
0.636,0
0.638,0
0.64,-0.0016665
0.642,0
0.644,0
0.646,0
0.648,-0.0016665
0.65,-0.0016665
0.652,0
0.654,0
0.656,-0.0016665
0.658,0
0.66,-0.0016665
0.662,0
0.664,0
0.666,0
0.668,0
0.67,-0.003333
0.672,-0.0016665
0.674,-0.0016665
0.676,0
0.678,0
0.68,0
0.682,-0.0016665
0.684,-0.0016665
0.686,0
0.688,0
0.69,0
0.692,0
0.694,0
0.696,-0.0016665
0.698,0
0.7,-0.0016665
0.702,0
0.704,0
0.706,0
0.708,0
0.71,0
0.712,0
0.714,-0.0016665
0.716,0
0.718,0
0.72,-0.0016665
0.722,0
0.724,-0.0016665
0.726,0
0.728,-0.0016665
0.73,0
0.732,0
0.734,0
0.736,0
0.738,0.0016665
0.74,0.0049995
0.742,0.003333
0.744,0.0016665
0.746,0.003333
0.748,0.0049995
0.75,0.0049995
0.752,0.0049995
0.754,0.003333
0.756,0.0049995
0.758,0.009999
0.76,0.006666
0.762,0.009999
0.764,0.009999
0.766,0.009999
0.768,0.009999
0.77,0.0149985
0.772,0.013332
0.774,0.0149985
0.776,0.0149985
0.778,0.0149985
0.78,0.013332
0.782,0.009999
0.784,0.0083325
0.786,0.0049995
0.788,0.003333
0.79,0.0016665
0.792,0
0.794,-0.0016665
0.796,0
0.798,0
0.8,0.003333
0.802,0.003333
0.804,0.0049995
0.806,0.009999
0.808,0.013332
0.81,0.019998
0.812,0.0216645
0.814,0.0216645
0.816,0.023331
0.818,0.019998
0.82,0.0216645
0.822,0.0216645
0.824,0.019998
0.826,0.016665
0.828,0.016665
0.83,0.0183315
0.832,0.0216645
0.834,0.023331
0.836,0.0249975
0.838,0.023331
0.84,0.019998
0.842,0.0149985
0.844,0.009999
0.846,0.0016665
0.848,0
0.85,0
0.852,0.003333
0.854,0.0049995
0.856,0.009999
0.858,0.016665
0.86,0.0216645
0.862,0.0283305
0.864,0.0283305
0.866,0.0249975
0.868,0.026664
0.87,0.026664
0.872,0.0216645
0.874,0.0216645
0.876,0.0249975
0.878,0.0283305
0.88,0.026664
0.882,0.0249975
0.884,0.019998
0.886,0.0116655
0.888,0.0049995
0.89,0
0.892,0
0.894,0.003333
0.896,0.006666
0.898,0.0149985
0.9,0.026664
0.902,0.0316635
0.904,0.029997
0.906,0.026664
0.908,0.0283305
0.91,0.0249975
0.912,0.0249975
0.914,0.026664
0.916,0.0283305
0.918,0.03333
0.92,0.0316635
0.922,0.0249975
0.924,0.0149985
0.926,0.006666
0.928,0.0016665
0.93,0.0016665
0.932,0.0016665
0.934,0.003333
0.936,0.0149985
0.938,0.0283305
0.94,0.0316635
0.942,0.029997
0.944,0.0283305
0.946,0.029997
0.948,0.0249975
0.95,0.023331
0.952,0.026664
0.954,0.0283305
0.956,0.03333
0.958,0.0316635
0.96,0.019998
0.962,0.0116655
0.964,0.003333
0.966,0
0.968,0.0016665
0.97,0.0049995
0.972,0.0116655
0.974,0.0249975
0.976,0.03333
0.978,0.03333
0.98,0.029997
0.982,0.0316635
0.984,0.0283305
0.986,0.023331
0.988,0.026664
0.99,0.029997
0.992,0.0316635
0.994,0.029997
0.996,0.0216645
0.998,0.0116655
1,0.0049995
1.002,-0.0016665
1.004,-0.0016665
1.006,0.0049995
1.008,0.009999
1.01,0.0216645
1.012,0.03333
1.014,0.03333
1.016,0.029997
1.018,0.029997
1.02,0.0283305
1.022,0.0249975
1.024,0.026664
1.026,0.029997
1.028,0.0316635
1.03,0.03333
1.032,0.0283305
1.034,0.016665
1.036,0.0083325
1.038,0.0016665
1.04,0.003333
1.042,0.003333
1.044,0.0083325
1.046,0.016665
1.048,0.0283305
1.05,0.0383295
1.052,0.0316635
1.054,0.0316635
1.056,0.03333
1.058,0.026664
1.06,0.0283305
1.062,0.029997
1.064,0.0349965
1.066,0.0349965
1.068,0.026664
1.07,0.0149985
1.072,0.0049995
1.074,-0.0016665
1.076,0.0016665
1.078,0.006666
1.08,0.016665
1.082,0.029997
1.084,0.036663
1.086,0.036663
